,DroppingNode,DummyID,DummyType,DummyTimeLeft,DummyDelay,DummyRoute,DummyPr
48,9,d_4_21,Dummy,0,"[0, 0, 0.6379518594745204, 0.010220739922688387, 0]","[None, None, ( id: 4, corrupt: False ), ( id: 9, corrupt: False ), Client id: 7]","[0.0006155626707157057, 0.0021264775327114955, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
49,8,d_5_14,Dummy,0,"[0, 0, 0.7342869375426816, 0.7392557916105477, 0]","[None, None, ( id: 5, corrupt: False ), ( id: 8, corrupt: False ), Client id: 26]","[0.0008151253631652554, 0.002896480934506583, 0.0005543237250554323, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
50,8,d_4_23,Dummy,0,"[0, 0, 0.10038340126812975, 4.260593013655631, 0]","[None, None, ( id: 4, corrupt: False ), ( id: 8, corrupt: False ), Client id: 30]","[0.000434513785547997, 0.001710553689495944, 0.002382628270798567, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
51,7,d_4_22,Dummy,0,"[0, 0, 1.1620949319536678, 0.3158888012501889, 0]","[None, None, ( id: 4, corrupt: False ), ( id: 7, corrupt: False ), Client id: 90]","[0.0003114399581124343, 0.001363058204336249, 0.0026660355481063686, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
52,7,d_4_24,Dummy,0,"[0, 0, 0.4026309686362082, 0.46315236645509916, 0]","[None, None, ( id: 4, corrupt: False ), ( id: 7, corrupt: False ), Client id: 93]","[0.00028174873720891253, 0.0012565847569475333, 0.002836311916590631, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
53,9,d_4_28,Dummy,0,"[0, 0, 0.15616930590935282, 2.976916332133849, 0]","[None, None, ( id: 4, corrupt: False ), ( id: 9, corrupt: False ), Client id: 35]","[0.00017029069168917056, 0.0007992294565656279, 0.002388510753912492, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
54,8,d_4_26,Dummy,0,"[0, 0, 0.6237902988368632, 0.4593106764690088, 0]","[None, None, ( id: 4, corrupt: False ), ( id: 8, corrupt: False ), Client id: 41]","[0.000165133123019795, 0.0007785737910049807, 0.0023965852413681604, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
55,8,d_6_17,Dummy,0,"[0, 0, 0.12752271651986022, 0.322039571079026, 0]","[None, None, ( id: 6, corrupt: False ), ( id: 8, corrupt: False ), Client id: 70]","[0.00019898697065671864, 0.0008614312640444057, 0.003041690154730447, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
56,7,d_4_25,Dummy,0,"[0, 0, 1.199798697151477, 0.737916028788849, 0]","[None, None, ( id: 4, corrupt: False ), ( id: 7, corrupt: False ), Client id: 98]","[0.00015836302733852358, 0.0007533429683620761, 0.002333905000149728, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
57,7,d_4_30,Dummy,0,"[0, 0, 0.0449005548151723, 2.162092088477311, 0]","[None, None, ( id: 4, corrupt: False ), ( id: 7, corrupt: False ), Client id: 25]","[0.00012204600941291857, 0.0005908122920514194, 0.0021761438095548747, 0.0011062295288485763, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
58,7,d_5_12,Dummy,0,"[0, 0, 3.852862135799515, 1.9676745806329397, 0]","[None, None, ( id: 5, corrupt: False ), ( id: 7, corrupt: False ), Client id: 38]","[0.00018550064264032226, 0.0007857271400592488, 0.0019625690883683187, 0.0014515781716361337, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
59,8,d_6_19,Dummy,0,"[0, 0, 0.6866485239162512, 0.34538873536166603, 0]","[None, None, ( id: 6, corrupt: False ), ( id: 8, corrupt: False ), Client id: 52]","[9.72777411802394e-05, 0.00044706486724319187, 0.001747801254235586, 0.0010191655505850435, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
60,7,d_5_18,Dummy,0,"[0, 0, 0.18882606773995209, 0.35239099560232623, 0]","[None, None, ( id: 5, corrupt: False ), ( id: 7, corrupt: False ), Client id: 12]","[0.00013388331458006594, 0.0005768643121685452, 0.0016582073445235144, 0.002634188759770694, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
61,7,d_6_18,Dummy,0,"[0, 0, 0.9960461266034728, 1.2046553695041802, 0]","[None, None, ( id: 6, corrupt: False ), ( id: 7, corrupt: False ), Client id: 46]","[9.72777411802394e-05, 0.00044706486724319187, 0.0017478012542355864, 0.0010191655505850433, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
